"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "JSON", "HTML", "XML", "comment", "blank", "total"
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\README.md", "Markdown", 0, 0, 0, 39, 0, 0, 0, 0, 33, 72
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\db.json", "JSON", 0, 0, 0, 0, 94, 0, 0, 0, 0, 94
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\package-lock.json", "JSON", 0, 0, 0, 0, 25686, 0, 0, 0, 1, 25687
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\package.json", "JSON", 0, 0, 0, 0, 62, 0, 0, 0, 1, 63
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\public\index.html", "HTML", 0, 0, 0, 0, 0, 30, 0, 0, 1, 31
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\public\site.webmanifest", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\App.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 8, 63
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\assets\profiles\sessions.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\assets\svg\title_img.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\assets\svg\undraw_active_sup.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\assets\svg\undraw_questions.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\Button\Button.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\Button\ButtonOutline.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\Button\InputLabel.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\Card\Card.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\CategoryFilter\CategoryFilter.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\Chip\Chip.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 3, 3, 16
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\Footer\Copyright.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\Footer\Footer.jsx", "JavaScript JSX", 0, 141, 0, 0, 0, 0, 0, 0, 5, 146
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\FrequentlyAsk\FrequentlyAsk.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 6, 61
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\HowWorks\HowWorks.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\Input\InputForm.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\SearchBar\SearchBar.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\SearchBar\styles.css", "CSS", 0, 0, 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\SocialMedia\SocialMedia.jsx", "JavaScript JSX", 0, 56, 0, 0, 0, 0, 0, 0, 2, 58
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\SupportAdmin\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\SupportEngine\Avatar.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\SupportEngine\SupportWindow\ChatEngine.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 6, 49
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\SupportEngine\SupportWindow\EmailForm.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 0, 8, 119
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\SupportEngine\SupportWindow\index.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\SupportEngine\index.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\SupportEngine\styles.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 11, 0, 111
"c:\Users\lenovo\Downloads\pomodoro-project\Mental-care\src\components\header\Header.jsx", "JavaScript JSX", 0, 46, 0, 0, 0, 0, 0, 6, 4, 56
